Job Title,company_name,location,hiring_status,date,seniority_level,old description,employment_type,industry,cleaned_description,Job Description
General Manager,Unite Students,"Manchester, England, United Kingdom",Actively Hiring,2023-01-15,Executive,management and manufacturing,Part-time,Hospitality,management manufacturing,"['big datum manufacturing', 'risk management framework iso', 'influencer management', 'network security incident management', 'big datum access control management']"
Human Resource Business Partner Sustainability Technology New York,Elliott Scott HR,"New York, NY",Actively Hiring,2023-04-10,Internship,human resources,Full-time,Internet Publishing,human resource,"['human resource coordinator', 'human resource manager', 'human resource management', 'ai human robot interaction', 'datum analysis resource allocation']"
SRE,IBM,"Kochi, Kerala, India",Be an early applicant,2023-04-06,Not Applicable,information technology,Full-time,Computer Hardware Manufacturing,information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Lead Data Scientist,Correlate Resources,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-13,Mid-Senior level,engineering and information technology,Part-time,Internet Publishing,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Area Sales Manager,Transasia Bio-Medicals Ltd.,"Chennai, Tamil Nadu, India",Actively Hiring,2023-04-13,Mid-Senior level,sales and business development,Full-time,Banking,sale business development,"['mobile app development android', 'organizational development consultant', 'testing test drive development tdd', 'security incident playbook development', 'security incident workflow development']"
Data Scientist HiTech R D ,Ernest Gordon Recruitment,"Workington, England, United Kingdom",Be an early applicant,2023-04-04,Entry level,engineering and information technology,Full-time,"Technology, Information and Internet",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Data Scientist ,"
            Cashfree Payments
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-28,"
            Mid-Senior level
          ",information technology ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",information technology,"['itil information technology infrastructure library', 'security information sharing standard stix taxii', 'information exchange', 'security information share framework', 'security information share platform']"
Assistant Brand Manager,jelli,"Bracknell, England, United Kingdom",Actively Hiring,2023-04-17,Director,marketing,Contract,Financial Services and Consumer Services,marketing,"['email marketing platform', 'mobile app marketing', 'webinar event marketing', 'marketing automation workflow', 'account base marketing abm']"
Banking Finance Lawyer,ADEPT Consulting Partners,"Mumbai, Maharashtra, India",Actively Hiring,2023-04-28,Mid-Senior level,legal project management and general business,Full-time,"IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Computers and Electronics Manufacturing",legal project management general business,"['project management', 'project management', 'big datum project management', 'project management tool', 'stakeholder management big datum project']"
Data Scientist ,"
            AB InBev
          ","
            Bangalore Urban, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-21,"
            Mid-Senior level
          ",engineering and information technology ,"
          Full-time
        ","
          IT Services and IT Consulting
          ",engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Associate Editor,The Royal Australian College of General Practitioners (RACGP),"Melbourne, Victoria, Australia","
         Actively Hiring
      ",2023-04-27,Entry level,marketing public relations and writing editing,Full-time,Non-profit Organizations,market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
