Job Title,old description,cleaned_description,Job Description
Direct Walk-in For Sales Executive in Imperia Structures .noida Sec-9,"property sales,tele sales executive,bpo sales,sales executive,tele sales,sales,telesales call,tele caller,target achievement,real estate sales,banking sales,voice process sales,sales officer,lead generation,telesales,insurance sales,outbound sales",property sale tele sale executive bpo sale sale executive tele sale sale telesale tele caller target achievement real estate sale banking sale voice process sale sale officer lead generation telesale insurance sale outbound sale,"['sale manager', 'sale analysis', 'sale funnel optimization', 'sale forecasting', 'sale funnel tracking']"
 Assistant Manager-hr(bulk Hiring),"bulk hiring,mass hiring,volume hiring,campus hiring,bpo hiring",bulk hiring mass hiring volume hiring campus hiring bpo hire,[]
 Associate - Operations,"associate operations,data analysis,customer service,help desk,information,telephony support,customer relationship,access controls,vendor management,asset management,intellectual property,crm",associate operation datum analysis customer service help desk information telephony support customer relationship access control vendor management asset management intellectual property crm,"['customer relationship management crm', 'big datum access control management', 'customer support', 'asset management', 'vendor analysis']"
 Assistant Manager/manager-marketing,"marketing manager,corporate development,sales manager,promotions,branding,business development manager,marketing",marketing manager corporate development sale manager promotion branding business development manager marketing,"['manager', 'sale manager', 'software development manager', 'project manager', 'product manager']"
 Administrator Telecom Networking,"telecom,rca,english language,networking,bmc remedy,network analysis,trend analysis,service,telecommunication,subject matter expertise",telecom rca english language networking bmc remedy network analysis trend analysis service telecommunication subject matter expertise,"['trend analysis', 'datum trend analysis', 'market trend analysis', 'network analysis', 'geospatial analysis']"
 Customer Service Jobs in International Bpo's,"bpo,call center,voice process,international call center,kpo,inbound,fresher,bpo fresher,customer service,customer support,customer care,technical support,tsa,email,ites,upselling,international bpo,bpo call center,process,undergraduate",bpo center voice process international center kpo inbound fresher bpo fresher customer service customer support customer care technical support tsa email ite upselle international bpo bpo center process undergraduate,"['customer support', 'datum center design management', 'center agent', 'customer persona development', 'customer upselle cross sell']"
 Hiring For Google Adwords In Top International BPOs,"digital marketing,google adwords,strategist,bpos,customer service,bpo,communication skills,ites,technical support,technical sales,teleperformance,cognizant,accenture,wns,google,cce,cso,csr,tso",digital marketing google adword strategist bpo customer service bpo communication skill ite technical support technical sale teleperformance cognizant accenture wns google cce cso csr tso,"['google bigquery', 'google bigquery', 'google analytic', 'content strategist', 'google cloud']"
 Walk-in II Deputy Branch Manager II 6th Aug II Noida/greater Noida,"sales,accounting,branch administration,branch management,heading branch,operations,auditing,people management,customer service,service desk",sale accounting branch administration branch management head branch operation auditing people management customer service service desk,"['auditing error tracing', 'jira service desk']"
 Associate Business Analyst,"data analysis,sdlc,sql,process,business analyst,project documentation,level,writing,testing",datum analysis sdlc sql process business analyst project documentation level writing test,"['process documentation', 'business analyst', 'secure sdlc', 'datum analysis', 'datum analysis toolpak']"
 Manager - System Engineering,"c++,automation,xml,product management,pmp,change management,business analysis,troubleshooting,open source,information technology",xml product management pmp change management business analysis troubleshooting open source information technology,"['change management', 'network change management', 'information security management', 'influencer management', 'datum analysis product development']"
Job Opening For Process Engineer For Hyderabad,"direct3d,drafting,3d,2d,system design,autocad,detailing,process engineering,microstation,chemical engineering",system design autocad detail process engineering microstation chemical engineering,"['datum engineering', 'network traffic engineering', 'chemical engineer', 'social engineering testing', 'recommender system']"
